Target,Capture_time,Time_elapsed,Discretization,Cap_per_time,Weight,ReferenceTime
thornton,4344,4062.021706083,30,4,2160,2024-11-24T09:00:00.0
laplata,2042,4062.021706083,30,4,2130,2024-11-24T09:00:00.0
gloria,4152,4062.021706083,30,4,2200,2024-11-24T09:00:00.0
igalikufjorden,3439,4062.021706083,30,4,2380,2024-11-24T09:00:00.0
falklandsatlantic,491,4062.021706083,30,4,2421,2024-11-24T09:00:00.0
frohavet,1344,4062.021706083,30,4,2700,2024-11-24T09:00:00.0
greenbay,5092,4062.021706083,30,4,2180,2024-11-24T09:00:00.0
janmayen,3245,4062.021706083,30,4,2230,2024-11-24T09:00:00.0
buvika,4163,4062.021706083,30,4,2710,2024-11-24T09:00:00.0
barentssea1,3054,4062.021706083,30,4,2460,2024-11-24T09:00:00.0
caspiansea3,3961,4062.021706083,30,4,2400,2024-11-24T09:00:00.0
griegnordkapp,49,4062.021706083,30,4,2470,2024-11-24T09:00:00.0
venice,62,4062.021706083,30,4,2140,2024-11-24T09:00:00.0
svalbardeidembukta,3240,4062.021706083,30,4,2360,2024-11-24T09:00:00.0
lacrau,4339,4062.021706083,30,4,2150,2024-11-24T09:00:00.0

vancouver,2405,1471.674751291,50,4,2570,2024-11-24T09:00:00.0
atlantic1,2068,1471.674751291,50,4,2414,2024-11-24T09:00:00.0
greenbay,3055,1471.674751291,50,4,2220,2024-11-24T09:00:00.0
venice,38,1471.674751291,50,4,2190,2024-11-24T09:00:00.0
berre,2378,1471.674751291,50,4,2170,2024-11-24T09:00:00.0
griegclio,1478,1471.674751291,50,4,2610,2024-11-24T09:00:00.0
griegloppa,695,1471.674751291,50,4,2490,2024-11-24T09:00:00.0
barentssea2,1832,1471.674751291,50,4,2450,2024-11-24T09:00:00.0
barentssea5,2275,1471.674751291,50,4,2435,2024-11-24T09:00:00.0
annapolis,1249,1471.674751291,50,4,2050,2024-11-24T09:00:00.0
caspiansea2,3309,1471.674751291,50,4,2410,2024-11-24T09:00:00.0
trondheim,805,1471.674751291,50,4,2720,2024-11-24T09:00:00.0
erie,490,1471.674751291,50,4,2240,2024-11-24T09:00:00.0
lakeanoya,33,1471.674751291,50,4,2670,2024-11-24T09:00:00.0
buenosaires,662,1471.674751291,50,4,2100,2024-11-24T09:00:00.0
griegesperanza,713,1471.674751291,50,4,2620,2024-11-24T09:00:00.0
hboi,2187,1471.674751291,50,4,2090,2024-11-24T09:00:00.0
barentssea3,2387,1471.674751291,50,4,2430,2024-11-24T09:00:00.0
longisland,2182,1471.674751291,50,4,2040,2024-11-24T09:00:00.0
losangeles,1473,1471.674751291,50,4,2030,2024-11-24T09:00:00.0
trondheimnorth,144,1471.674751291,50,4,2709,2024-11-24T09:00:00.0
svalbardnyaalesund,1944,1471.674751291,50,4,2390,2024-11-24T09:00:00.0
moby,835,1471.674751291,50,4,2260,2024-11-24T09:00:00.0
barentssea4,583,1471.674751291,50,4,2440,2024-11-24T09:00:00.0
englishatlantic,2609,1471.674751291,50,4,2432,2024-11-24T09:00:00.0
grieghammerfest,1722,1471.674751291,50,4,2480,2024-11-24T09:00:00.0
magest,1842,1471.674751291,50,4,2160,2024-11-24T09:00:00.0
lucinda,1073,1471.674751291,50,4,2130,2024-11-24T09:00:00.0
socheongcho,2038,1471.674751291,50,4,2110,2024-11-24T09:00:00.0
peteriisland,412,1471.674751291,50,4,2300,2024-11-24T09:00:00.0
falklandsatlantic,295,1471.674751291,50,4,2421,2024-11-24T09:00:00.0
frohavet,1837,1471.674751291,50,4,2700,2024-11-24T09:00:00.0
laplata,1225,1471.674751291,50,4,2180,2024-11-24T09:00:00.0
